,feature,value,model,dataset
8845,ENSG00000158006,0.16097752336660204,cBoost,pData_Imputed
11560,ENSG00000173530,0.1592167954086579,cBoost,pData_Imputed
2029,ENSG00000100281,0.15328923875013026,cBoost,pData_Imputed
9064,ENSG00000160207,0.15265588372656705,cBoost,pData_Imputed
6139,ENSG00000135097,0.15057772514776557,cBoost,pData_Imputed
7184,ENSG00000142197,0.1465645322634478,cBoost,pData_Imputed
14285,ENSG00000203965,0.14314297978369367,cBoost,pData_Imputed
10943,ENSG00000169919,0.1398955830500511,cBoost,pData_Imputed
11762,ENSG00000175040,0.13918242172537737,cBoost,pData_Imputed
14890,ENSG00000237984,0.13149255853686662,cBoost,pData_Imputed
6132,ENSG00000135069,0.12844748155243016,cBoost,pData_Imputed
4390,ENSG00000119608,0.1282329585177561,cBoost,pData_Imputed
9552,ENSG00000163515,0.12469918431613063,cBoost,pData_Imputed
6999,ENSG00000140527,0.09818560148534246,cBoost,pData_Imputed
11126,ENSG00000170927,0.09428585743727513,cBoost,pData_Imputed
9092,ENSG00000160326,0.09053425824313793,cBoost,pData_Imputed
4696,ENSG00000122641,0.08559888858401962,cBoost,pData_Imputed
7523,ENSG00000144791,0.08331175329383925,cBoost,pData_Imputed
8493,ENSG00000154277,0.07725723004668057,cBoost,pData_Imputed
7592,ENSG00000145390,0.07377138709282469,cBoost,pData_Imputed
9843,ENSG00000164463,0.06359648518781406,cBoost,pData_Imputed
9643,ENSG00000163795,0.06259309705229156,cBoost,pData_Imputed
7045,ENSG00000140961,0.05399645289782464,cBoost,pData_Imputed
4176,ENSG00000117228,0.04953355897262801,cBoost,pData_Imputed
14567,ENSG00000213676,0.04015971910379059,cBoost,pData_Imputed
3418,ENSG00000111196,0.036208065758129786,cBoost,pData_Imputed
4844,ENSG00000124159,0.03126502890208658,cBoost,pData_Imputed
6981,ENSG00000140443,0.029754595245719023,cBoost,pData_Imputed
13411,ENSG00000187801,0.025148937343451538,cBoost,pData_Imputed
15318,ENSG00000282608,0.025006554734615032,cBoost,pData_Imputed
7915,ENSG00000148300,0.021960953035553933,cBoost,pData_Imputed
12221,ENSG00000178904,0.02078617195789252,cBoost,pData_Imputed
3090,ENSG00000107882,0.020165274334226484,cBoost,pData_Imputed
4275,ENSG00000122641,8.360796939586672,cBoost,Intersection
10519,ENSG00000175063,5.179229586500369,cBoost,Intersection
1185,ENSG00000078098,4.072355884758011,cBoost,Intersection
1469,ENSG00000087586,3.5625965324146045,cBoost,Intersection
13181,ENSG00000273706,2.995244732089836,cBoost,Intersection
3121,ENSG00000111206,2.8092485830623124,cBoost,Intersection
10730,ENSG00000177058,2.734732409623933,cBoost,Intersection
3858,ENSG00000117594,2.6247820817454324,cBoost,Intersection
1481,ENSG00000088325,2.480182959724945,cBoost,Intersection
8465,ENSG00000162891,2.397719258524641,cBoost,Intersection
2012,ENSG00000100994,2.3091499307457477,cBoost,Intersection
5167,ENSG00000131747,2.291672089353545,cBoost,Intersection
6983,ENSG00000146477,2.1468550699160653,cBoost,Intersection
11025,ENSG00000180011,2.1362433795942453,cBoost,Intersection
1156,ENSG00000077254,1.9958702785078712,cBoost,Intersection
9819,ENSG00000170035,1.9137454964981657,cBoost,Intersection
3395,ENSG00000113448,1.8833948388911224,cBoost,Intersection
9602,ENSG00000168765,1.795271122316738,cBoost,Intersection
7664,ENSG00000154330,1.7731207405056737,cBoost,Intersection
8252,ENSG00000160991,1.651718153170972,cBoost,Intersection
6892,ENSG00000145721,1.61156959079757,cBoost,Intersection
5483,ENSG00000134443,1.5505927676216318,cBoost,Intersection
8782,ENSG00000164185,1.4634079576097925,cBoost,Intersection
6159,ENSG00000139044,1.459666892453685,cBoost,Intersection
4697,ENSG00000126733,1.4332190677666183,cBoost,Intersection
1744,ENSG00000099260,1.431059370157371,cBoost,Intersection
40,ENSG00000004468,1.3422443683066254,cBoost,Intersection
12313,ENSG00000197555,1.3225432495303397,cBoost,Intersection
5796,ENSG00000136546,1.3069887308812647,cBoost,Intersection
6660,ENSG00000143553,1.2656881039084784,cBoost,Intersection
1046,ENSG00000073849,1.142932832891603,cBoost,Intersection
9667,ENSG00000169122,1.1212074554384066,cBoost,Intersection
2103,ENSG00000101473,1.0160219879976287,cBoost,Intersection
12036,ENSG00000189143,0.9999192765767602,cBoost,Intersection
10482,ENSG00000174776,0.9860598044928305,cBoost,Intersection
7472,ENSG00000152229,0.9850721364906719,cBoost,Intersection
5302,ENSG00000132840,0.9590853547372304,cBoost,Intersection
938,ENSG00000070540,0.9109560330835105,cBoost,Intersection
10141,ENSG00000171936,0.9020434570708298,cBoost,Intersection
8810,ENSG00000164307,0.8886506000840201,cBoost,Intersection
8767,ENSG00000164142,0.8458170035133972,cBoost,Intersection
4814,ENSG00000128272,0.8321835146833271,cBoost,Intersection
5366,ENSG00000133422,0.8261045928031654,cBoost,Intersection
5766,ENSG00000136319,0.8169201067652138,cBoost,Intersection
3891,ENSG00000118113,0.8140770341195095,cBoost,Intersection
6056,ENSG00000138190,0.8094348097793028,cBoost,Intersection
6295,ENSG00000140259,0.8080639471590142,cBoost,Intersection
7263,ENSG00000149534,0.7624732593746247,cBoost,Intersection
9963,ENSG00000170921,0.7613364024144235,cBoost,Intersection
10484,ENSG00000174788,0.6661662136339147,cBoost,Intersection
12029,ENSG00000189079,0.6300920989885829,cBoost,Intersection
13024,ENSG00000242173,0.6046505834140896,cBoost,Intersection
3471,ENSG00000114302,0.5898890136858127,cBoost,Intersection
11309,ENSG00000182973,0.5879551607514049,cBoost,Intersection
6553,ENSG00000142798,0.5659962903822808,cBoost,Intersection
11092,ENSG00000180773,0.5287346850049165,cBoost,Intersection
11109,ENSG00000180900,0.5286792825511253,cBoost,Intersection
8607,ENSG00000163577,0.48537558073354947,cBoost,Intersection
4802,ENSG00000128052,0.48000248296121784,cBoost,Intersection
2739,ENSG00000106948,0.4542948660933118,cBoost,Intersection
3256,ENSG00000112186,0.45057780874525166,cBoost,Intersection
4732,ENSG00000127184,0.4467231621155996,cBoost,Intersection
