"","feature","value","dataset","model_class"
"331","ENSG00000126883",9.34396846834495e-05,"Intersection","RSF"
"332","ENSG00000127081",7.64506511046203e-05,"Intersection","RSF"
"333","ENSG00000127334",0.000174137594182944,"Intersection","RSF"
"334","ENSG00000127527",1.69890335788292e-05,"Intersection","RSF"
"335","ENSG00000127831",2.1236291973481e-05,"Intersection","RSF"
"336","ENSG00000127990",8.4945167894146e-06,"Intersection","RSF"
"337","ENSG00000128059",0.000208115661340602,"Intersection","RSF"
"338","ENSG00000128228",0.000169890335788181,"Intersection","RSF"
"339","ENSG00000128311",0.000768753769441743,"Intersection","RSF"
"340","ENSG00000128346",5.09671007363766e-05,"Intersection","RSF"
"341","ENSG00000128487",2.97308087628956e-05,"Intersection","RSF"
"342","ENSG00000128604",3.39780671575474e-05,"Intersection","RSF"
"343","ENSG00000128708",1.69890335788292e-05,"Intersection","RSF"
"344","ENSG00000129003",4.24725839465179e-06,"Intersection","RSF"
"345","ENSG00000130176",4.24725839465179e-06,"Intersection","RSF"
"346","ENSG00000130227",0.000106181459867627,"Intersection","RSF"
"347","ENSG00000130254",0.000823968128572994,"Intersection","RSF"
"348","ENSG00000130338",5.94616175257912e-05,"Intersection","RSF"
"349","ENSG00000130529",0.000560638108101141,"Intersection","RSF"
"350","ENSG00000130561",3.82253255523102e-05,"Intersection","RSF"
"351","ENSG00000130635",5.94616175257912e-05,"Intersection","RSF"
"352","ENSG00000130638",8.4945167894146e-06,"Intersection","RSF"
"353","ENSG00000130711",0.000581874400074733,"Intersection","RSF"
"354","ENSG00000130726",1.69890335788292e-05,"Intersection","RSF"
"355","ENSG00000130935",8.4945167894146e-06,"Intersection","RSF"
"356","ENSG00000131069",0.00018687936936701,"Intersection","RSF"
"357","ENSG00000131089",1.69890335788292e-05,"Intersection","RSF"
"358","ENSG00000131378",8.4945167894146e-06,"Intersection","RSF"
"359","ENSG00000131467",0.000394995030707612,"Intersection","RSF"
"360","ENSG00000131620",0.000454456648233514,"Intersection","RSF"
"361","ENSG00000131778",0.000344027929971125,"Intersection","RSF"
"362","ENSG00000131849",0.000658325051179465,"Intersection","RSF"
"363","ENSG00000131864",8.4945167894146e-06,"Intersection","RSF"
"364","ENSG00000131899",0.00104057830670301,"Intersection","RSF"
"365","ENSG00000131914",5.94616175257912e-05,"Intersection","RSF"
"366","ENSG00000132109",0.000471445681812344,"Intersection","RSF"
"367","ENSG00000132274",2.54835503682438e-05,"Intersection","RSF"
"368","ENSG00000132300",5.94616175257912e-05,"Intersection","RSF"
"369","ENSG00000132591",8.4945167894146e-06,"Intersection","RSF"
"370","ENSG00000132840",0.000165643077393529,"Intersection","RSF"
"371","ENSG00000132855",0.00018687936936701,"Intersection","RSF"
"372","ENSG00000132938",0.000152901302209352,"Intersection","RSF"
"373","ENSG00000132963",0.000751764735862914,"Intersection","RSF"
"374","ENSG00000133027",0.000101934201472864,"Intersection","RSF"
"375","ENSG00000133083",0.000127417751841108,"Intersection","RSF"
"376","ENSG00000133101",0.000840957162151823,"Intersection","RSF"
"377","ENSG00000133243",4.2472583946962e-05,"Intersection","RSF"
"378","ENSG00000133256",1.27417751840664e-05,"Intersection","RSF"
"379","ENSG00000133265",0.00122745767607002,"Intersection","RSF"
"380","ENSG00000133422",8.4945167894146e-06,"Intersection","RSF"
"381","ENSG00000133703",0.000123170493446456,"Intersection","RSF"
"382","ENSG00000134020",1.27417751840664e-05,"Intersection","RSF"
"383","ENSG00000134186",4.67198423417248e-05,"Intersection","RSF"
"384","ENSG00000134201",4.67198423417248e-05,"Intersection","RSF"
"385","ENSG00000134285",2.1236291973481e-05,"Intersection","RSF"
"386","ENSG00000134352",0.000152901302209352,"Intersection","RSF"
"387","ENSG00000134533",0.000101934201472864,"Intersection","RSF"
"388","ENSG00000134538",5.94616175257912e-05,"Intersection","RSF"
"389","ENSG00000134569",2.1236291973481e-05,"Intersection","RSF"
"390","ENSG00000134640",0.000182632110972358,"Intersection","RSF"
"391","ENSG00000134755",0.000322791637997644,"Intersection","RSF"
"392","ENSG00000134757",0.00018687936936701,"Intersection","RSF"
"393","ENSG00000134874",2.97308087628956e-05,"Intersection","RSF"
"394","ENSG00000134882",0.000220857436524668,"Intersection","RSF"
"395","ENSG00000134897",0.000250588245287564,"Intersection","RSF"
"396","ENSG00000134900",0.000237846470103498,"Intersection","RSF"
"397","ENSG00000134962",7.22033927099686e-05,"Intersection","RSF"
"398","ENSG00000135002",0.00137186446149007,"Intersection","RSF"
"399","ENSG00000135040",0.000271824537261156,"Intersection","RSF"
